                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    129,                0.70432,                0.35857,                0.85166,                0.94277,                0.86289,                0.93794,                0.70991,                0.75665,                0.38564,                0.88876,               0.001552,               0.001552,               0.001552
                    130,                0.69827,                0.35583,                0.85125,                0.94203,                0.86559,                0.93549,                0.71383,                0.75401,                0.38435,                0.88932,               0.001486,               0.001486,               0.001486
                    131,                0.69759,                0.35484,                0.85142,                0.87214,                0.89241,                0.93446,                0.71064,                0.75743,                0.38464,                0.88967,                0.00142,                0.00142,                0.00142
                    132,                0.69797,                0.35504,                0.84943,                0.88527,                0.89034,                0.92269,                0.70891,                  0.759,                 0.3839,                0.89113,               0.001354,               0.001354,               0.001354
                    133,                0.69777,                 0.3537,                0.85105,                0.91546,                0.85517,                0.92127,                0.70363,                0.75724,                0.38224,                0.88959,               0.001288,               0.001288,               0.001288
                    134,                 0.6957,                0.35264,                0.84998,                0.93854,                0.86843,                0.92693,                0.70895,                0.75887,                0.38581,                0.89112,               0.001222,               0.001222,               0.001222
                    135,                0.69234,                 0.3515,                0.84932,                0.95081,                0.83763,                0.93285,                0.71061,                 0.7549,                 0.3824,                0.88906,               0.001156,               0.001156,               0.001156
                    136,                0.68847,                0.35019,                0.84848,                0.93691,                 0.8731,                0.93157,                0.70672,                0.75663,                 0.3811,                0.88866,                0.00109,                0.00109,                0.00109
                    137,                0.68604,                0.34924,                0.84674,                0.92985,                0.85273,                0.92927,                0.70115,                0.75967,                0.38276,                0.88968,               0.001024,               0.001024,               0.001024
                    138,                0.68826,                0.34872,                0.84961,                0.95074,                0.85284,                0.93853,                0.71195,                0.75876,                0.38311,                 0.8911,               0.000958,               0.000958,               0.000958
                    139,                0.68751,                 0.3487,                0.84759,                0.90727,                0.87457,                0.93717,                0.71157,                0.75812,                0.38169,                0.89075,               0.000892,               0.000892,               0.000892
                    140,                0.62245,                 0.3116,                0.83737,                0.91254,                 0.8467,                0.92686,                0.70247,                0.76136,                0.38439,                0.89296,               0.000826,               0.000826,               0.000826
                    141,                0.61334,                0.30534,                0.83495,                0.93553,                0.86187,                0.92446,                0.69984,                0.76182,                 0.3825,                0.89316,                0.00076,                0.00076,                0.00076
                    142,                0.60928,                0.30378,                0.83255,                0.93815,                0.83701,                0.92312,                0.70357,                0.75992,                 0.3826,                0.89047,               0.000694,               0.000694,               0.000694
                    143,                0.60629,                0.30226,                0.83119,                 0.9107,                0.85253,                0.91756,                0.70522,                0.76143,                 0.3864,                0.89123,               0.000628,               0.000628,               0.000628
                    144,                0.60415,                0.30149,                 0.8313,                0.91082,                0.85371,                0.91848,                0.69528,                 0.7596,                0.38227,                0.89168,               0.000562,               0.000562,               0.000562
                    145,                0.60274,                0.30052,                0.83209,                 0.9413,                0.83862,                0.91956,                0.69324,                0.76161,                0.38478,                0.89213,               0.000496,               0.000496,               0.000496
                    146,                 0.5975,                0.29695,                0.83071,                0.94647,                0.82505,                0.91896,                0.69676,                0.76076,                0.38332,                0.89309,                0.00043,                0.00043,                0.00043
                    147,                0.59572,                0.29653,                0.82989,                0.93237,                0.85111,                  0.917,                0.70464,                0.75943,                0.38333,                0.89223,               0.000364,               0.000364,               0.000364
                    148,                0.59222,                0.29428,                0.82806,                0.90872,                0.85767,                0.92372,                0.70613,                0.76181,                0.38284,                0.89281,               0.000298,               0.000298,               0.000298
                    149,                0.59546,                0.29572,                0.82755,                 0.9444,                0.81999,                0.92578,                0.70719,                 0.7614,                0.38395,                0.89198,               0.000232,               0.000232,               0.000232
